SampleId,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,57,unemployed,married,secondary,no,2299,no,no,cellular,12,nov,39,3,-1,0,unknown,False
1,31,services,married,secondary,no,246,yes,no,unknown,16,may,230,2,-1,0,unknown,False
2,58,retired,married,secondary,no,1230,no,no,cellular,20,may,420,1,87,1,failure,True
3,32,technician,single,tertiary,no,569,no,yes,cellular,29,jan,348,1,-1,0,unknown,False
4,54,entrepreneur,married,secondary,no,0,no,yes,cellular,15,jul,209,4,-1,0,unknown,False
5,37,services,married,secondary,no,1543,yes,no,cellular,22,may,298,1,10,6,failure,True
6,44,management,married,secondary,no,27,yes,no,unknown,29,may,158,1,-1,0,unknown,False
7,48,technician,divorced,tertiary,no,2328,no,no,cellular,27,aug,129,7,-1,0,unknown,False
8,31,management,married,tertiary,no,-181,yes,no,cellular,8,may,127,1,170,2,failure,False
9,50,management,married,secondary,no,268,no,no,cellular,3,jun,74,2,90,2,failure,False
10,59,management,married,tertiary,no,296,no,yes,cellular,15,jul,805,3,-1,0,unknown,True
11,40,management,married,tertiary,no,964,yes,no,telephone,13,may,95,3,-1,0,unknown,False
12,43,blue-collar,married,secondary,no,1096,no,yes,unknown,30,may,180,1,-1,0,unknown,False
13,58,management,married,secondary,no,111,no,no,telephone,24,mar,58,2,-1,0,unknown,False
14,34,self-employed,single,tertiary,no,589,yes,no,telephone,8,may,44,4,367,1,other,False
15,34,services,divorced,secondary,no,797,yes,no,cellular,20,nov,88,1,126,1,failure,False
16,36,blue-collar,married,secondary,no,74,yes,no,unknown,26,jun,322,2,-1,0,unknown,False
17,56,blue-collar,married,secondary,no,302,no,yes,cellular,4,aug,378,2,-1,0,unknown,False
18,44,blue-collar,married,unknown,no,3373,yes,no,cellular,20,apr,48,2,342,1,failure,False
19,45,technician,married,tertiary,no,2699,yes,no,cellular,29,jun,264,4,-1,0,unknown,False
20,32,management,married,tertiary,no,3,yes,no,cellular,31,jul,22,27,-1,0,unknown,False
21,30,technician,single,secondary,no,3,no,no,cellular,28,aug,21,6,-1,0,unknown,False
22,51,technician,married,secondary,no,130,no,no,cellular,22,aug,547,3,-1,0,unknown,False
23,81,retired,married,primary,no,5220,no,no,telephone,13,nov,135,1,94,2,other,True
24,42,admin.,divorced,secondary,no,23,no,yes,unknown,27,jun,397,1,-1,0,unknown,False
25,33,technician,married,secondary,no,6947,yes,no,cellular,20,apr,250,2,-1,0,unknown,False
26,26,admin.,single,secondary,no,96,no,no,cellular,11,aug,349,1,70,3,failure,True
27,57,admin.,married,unknown,no,1401,no,no,cellular,21,aug,91,22,-1,0,unknown,False
28,37,blue-collar,married,secondary,no,965,yes,no,cellular,28,jul,119,4,-1,0,unknown,False
29,35,management,single,unknown,no,186,yes,no,cellular,5,feb,196,2,-1,0,unknown,False
30,35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,326,5,179,4,failure,True
31,31,technician,married,secondary,no,2420,yes,no,cellular,19,nov,166,1,-1,0,unknown,False
32,55,technician,divorced,tertiary,no,0,no,no,cellular,17,nov,134,2,91,1,success,True
33,54,blue-collar,married,primary,no,244,yes,no,cellular,29,jul,337,2,-1,0,unknown,False
34,29,blue-collar,single,secondary,no,2,yes,yes,cellular,21,apr,379,5,-1,0,unknown,True
35,33,technician,married,secondary,no,3572,yes,no,cellular,18,nov,85,2,-1,0,unknown,False
36,46,management,single,secondary,no,1605,no,no,cellular,31,jul,126,6,-1,0,unknown,False
37,32,unemployed,married,tertiary,no,394,yes,no,cellular,14,aug,266,2,-1,0,unknown,False
38,37,technician,single,tertiary,no,1661,no,no,cellular,19,aug,199,5,-1,0,unknown,False
39,47,services,married,secondary,no,0,no,yes,unknown,20,jun,51,2,-1,0,unknown,False
40,38,entrepreneur,married,tertiary,no,83,yes,no,cellular,19,nov,108,1,-1,0,unknown,False
41,29,student,single,secondary,no,209,yes,no,unknown,6,may,311,2,-1,0,unknown,False
42,41,technician,married,secondary,no,1385,no,no,unknown,17,jun,145,1,-1,0,unknown,False
43,34,management,married,tertiary,no,813,yes,no,cellular,28,may,114,3,-1,0,unknown,False
44,28,services,single,secondary,no,805,yes,no,cellular,7,may,148,5,336,7,other,False
45,34,management,married,tertiary,no,4831,yes,no,cellular,4,feb,265,1,-1,0,unknown,False
46,27,services,single,secondary,no,261,yes,yes,cellular,18,may,113,1,-1,0,unknown,False
47,45,admin.,married,secondary,no,985,yes,no,unknown,13,may,390,1,-1,0,unknown,False
48,56,blue-collar,married,unknown,no,0,no,no,cellular,18,aug,82,3,-1,0,unknown,False
49,31,housemaid,single,secondary,no,49,yes,no,cellular,8,may,187,3,360,2,failure,False
50,31,technician,single,secondary,no,1186,yes,no,unknown,23,may,136,1,-1,0,unknown,False
51,32,management,married,tertiary,no,1667,yes,no,cellular,18,nov,164,2,179,3,failure,False
52,31,management,married,tertiary,no,199,yes,yes,cellular,11,aug,127,2,461,4,success,False
53,28,admin.,married,secondary,no,12,yes,no,cellular,30,jan,73,3,256,3,other,False
54,32,services,single,secondary,no,-23,no,no,cellular,10,jul,182,1,-1,0,unknown,False
55,28,technician,single,secondary,no,-125,yes,no,unknown,9,may,67,3,-1,0,unknown,False
56,59,retired,married,primary,no,-266,yes,yes,cellular,31,jul,266,11,-1,0,unknown,False
57,43,technician,married,tertiary,no,0,no,no,cellular,4,aug,1488,2,-1,0,unknown,True
58,44,entrepreneur,divorced,tertiary,no,316,yes,no,cellular,18,nov,244,1,-1,0,unknown,False
59,35,blue-collar,single,primary,no,-4,yes,no,cellular,18,may,178,1,-1,0,unknown,False
60,26,technician,divorced,tertiary,no,-70,no,yes,unknown,1,jul,1992,2,-1,0,unknown,False
61,29,housemaid,single,tertiary,no,2196,no,no,cellular,5,aug,215,1,-1,0,unknown,True
62,36,management,married,tertiary,no,806,yes,no,unknown,20,may,280,1,-1,0,unknown,False
63,74,retired,married,secondary,no,1714,no,no,telephone,17,feb,127,1,-1,0,unknown,True
64,46,blue-collar,married,secondary,no,229,yes,no,cellular,17,apr,191,1,-1,0,unknown,False
65,45,blue-collar,married,secondary,no,-258,yes,no,telephone,20,apr,384,5,-1,0,unknown,False
66,49,technician,married,secondary,no,308,no,no,cellular,27,jul,266,5,-1,0,unknown,False
67,32,management,divorced,tertiary,no,387,no,no,cellular,26,aug,99,4,-1,0,unknown,False
68,28,unemployed,married,secondary,no,863,yes,yes,unknown,27,may,355,1,-1,0,unknown,False
69,25,technician,single,tertiary,no,1231,no,no,cellular,31,aug,271,2,-1,0,unknown,True
70,41,unknown,married,unknown,no,779,no,no,cellular,30,jul,647,10,-1,0,unknown,False
71,52,self-employed,married,secondary,no,-201,no,yes,cellular,19,nov,905,1,133,2,failure,False
72,43,services,married,secondary,no,378,no,yes,cellular,12,aug,321,4,-1,0,unknown,False
73,36,blue-collar,married,secondary,no,717,no,no,unknown,11,jun,63,1,-1,0,unknown,False
74,37,management,married,tertiary,no,2672,yes,no,cellular,11,aug,549,1,-1,0,unknown,False
75,45,blue-collar,married,primary,no,678,no,no,cellular,5,aug,104,3,-1,0,unknown,False
76,37,management,single,tertiary,no,2074,no,no,cellular,18,aug,244,2,-1,0,unknown,False
77,31,admin.,divorced,secondary,no,1352,yes,no,unknown,20,may,6,2,-1,0,unknown,False
78,44,blue-collar,married,secondary,no,3610,yes,no,unknown,29,may,23,15,-1,0,unknown,False
79,33,management,divorced,secondary,no,1897,yes,yes,unknown,2,jun,197,1,-1,0,unknown,False
